sample,problem,In duplicates removed?,,*****This is a list of cores for which we have crossdating records but no core. The vast majority are duplicate cores that have been moved to a different folder so they are not used for analyses.
1019,More than one pos file matching: 1019 . Using first one,,,
1328,No pos files matching primary: 1328 and there is no secondary.,,,
1966,No pos files matching primary: 1966 and there is no secondary.,NO,"Thought maybe mistaken for 1466, but there are already crossdating records for 1466. There is no sampled tree 1966.",
1007Z,No pos files matching primary: 1007Z and there is no secondary.,,,
1042Z,No pos files matching primary: 1042Z and there is no secondary.,,,
1140B,No pos files matching primary: 1140B and there is no secondary.,,,
1144A,No pos files matching primary: 1144A and there is no secondary.,,,
1273Z,No pos files matching primary: 1273Z and there is no secondary.,,,
1322B,No pos files matching primary: 1322B and there is no secondary.,,,
1325d,No pos files matching primary: 1325d and there is no secondary.,,,
1329d,No pos files matching primary: 1329d and there is no secondary.,,,
1335d,No pos files matching primary: 1335d and there is no secondary.,,,
1342B,No pos files matching primary: 1342B and there is no secondary.,,,
1353B,No pos files matching primary: 1353B and there is no secondary.,,,
1357Z,No pos files matching primary: 1357Z and there is no secondary.,,,
1368Z,No pos files matching primary: 1368Z and there is no secondary.,,,
1418Z,No pos files matching primary: 1418Z and there is no secondary.,,,
1485Z,No pos files matching primary: 1485Z and there is no secondary.,NO,It’s OK because we have 1485 (no z),
2001A,No pos files matching primary: 2001A and there is no secondary.,,,
2015A,No pos files matching primary: 2015A and there is no secondary.,,,
2086Z,No pos files matching primary: 2086Z and there is no secondary.,,,
2087Z,No pos files matching primary: 2087Z and there is no secondary.,NO,It’s OK because we have 2087,
2118Z,No pos files matching primary: 2118Z and there is no secondary.,,,
2523Z,No pos files matching primary: 2523Z and there is no secondary.,,,
2551Z,No pos files matching primary: 2551Z and there is no secondary.,,,
2571Z,No pos files matching primary: 2571Z and there is no secondary.,,,
2575A,No pos files matching primary: 2575A and there is no secondary.,,,
2588Z,No pos files matching primary: 2588Z and there is no secondary.,,,
4204Z,No pos files matching primary: 4204Z and there is no secondary.,,,
4213Z,No pos files matching primary: 4213Z and there is no secondary.,,,
NA,NA,,,
pm123B,No pos files matching primary: pm123B and there is no secondary.,,,
pm135B,No pos files matching primary: pm135B and there is no secondary.,,,
pm177b,No pos files matching primary: pm177b and there is no secondary.,,,
pm181b,No pos files matching primary: pm181b and there is no secondary.,,,
pm217B,No pos files matching primary: pm217B and there is no secondary.,,,
pm219B,No pos files matching primary: pm219B and there is no secondary.,,,
pm220B,No pos files matching primary: pm220B and there is no secondary.,,,
pm221B1,No pos files matching primary: pm221B1 and there is no secondary.,,,
pm221B2,No pos files matching primary: pm221B2 and there is no secondary.,,,
pm253b,No pos files matching primary: pm253b and there is no secondary.,,,
pm255B,No pos files matching primary: pm255B and there is no secondary.,,,
pm257B,No pos files matching primary: pm257B and there is no secondary.,,,
pm262B,No pos files matching primary: pm262B and there is no secondary.,,,
pm263b,No pos files matching primary: pm263b and there is no secondary.,,,
pm265B,No pos files matching primary: pm265B and there is no secondary.,,,
pm283z,No pos files matching primary: pm283z and there is no secondary.,,,
pm285-2,No pos files matching primary: pm285-2 and there is no secondary.,,,
pm285A,No pos files matching primary: pm285A and there is no secondary.,,,
pm48,No pos files matching primary: pm48 and there is no secondary.,NO,This one was removed because the two cores seem to be from different trees,
pm48Z,No pos files matching primary: pm48Z and there is no secondary.,NO,This one was removed because the two cores seem to be from different trees,
pm58b,No pos files matching primary: pm58b and there is no secondary.,,,
pm61a,No pos files matching primary: pm61a and there is no secondary.,,,
pm62a,No pos files matching primary: pm62a and there is no secondary.,,,
pm63B,No pos files matching primary: pm63B and there is no secondary.,,,
pm63b,No pos files matching primary: pm63b and there is no secondary.,,,
pm65a,No pos files matching primary: pm65a and there is no secondary.,,,
pm66b,No pos files matching primary: pm66b and there is no secondary.,,,
pm67a,No pos files matching primary: pm67a and there is no secondary.,,,
pm68A,No pos files matching primary: pm68A and there is no secondary.,,,
pm69b,No pos files matching primary: pm69b and there is no secondary.,,,
pm70a,No pos files matching primary: pm70a and there is no secondary.,,,
pm71b,No pos files matching primary: pm71b and there is no secondary.,,,
pm72b,No pos files matching primary: pm72b and there is no secondary.,,,
pm73B,No pos files matching primary: pm73B and there is no secondary.,,,
pm74A,No pos files matching primary: pm74A and there is no secondary.,,,
pm74a,No pos files matching primary: pm74a and there is no secondary.,,,
pm76a,No pos files matching primary: pm76a and there is no secondary.,,,
pm77A,No pos files matching primary: pm77A and there is no secondary.,,,
pm78b,No pos files matching primary: pm78b and there is no secondary.,,,
pm79B,No pos files matching primary: pm79B and there is no secondary.,,,
pm80b,No pos files matching primary: pm80b and there is no secondary.,,,
pm81a,No pos files matching primary: pm81a and there is no secondary.,,,
pm82b,No pos files matching primary: pm82b and there is no secondary.,,,
pm83a,No pos files matching primary: pm83a and there is no secondary.,,,
pm84a,No pos files matching primary: pm84a and there is no secondary.,,,
pm84A,No pos files matching primary: pm84A and there is no secondary.,,,
pm85a,No pos files matching primary: pm85a and there is no secondary.,,,
pmA10S,No pos files matching primary: pmA10S and there is no secondary.,,,
pmB1S,No pos files matching primary: pmB1S and there is no secondary.,,,
pmB4S,No pos files matching primary: pmB4S and there is no secondary.,,,
pmx2,No pos files matching primary: pmx2 and there is no secondary.,,,
